country,gdp_pc_initial,growth,sec_enroll,prim_enroll,inv_share,gov_share,pop_growth
Belgium,4379,0.03188226,0.69,1,0.23906,0.1299,0.0071
Cyprus,1692,0.04574722,0.47,1,0.32578,0.2173,0.0031
Denmark,5490,0.02737462,0.65,1,0.27146,0.1643,0.0076
Finland,4073,0.03273184,0.74,0.97,0.38898,0.127,0.006
France,4473,0.03185168,0.46,1,0.2456,0.1502,0.013
"Germany, West",5217,0.02876274,0.53,1,0.3185,0.156,0.0112
Greece,1474,0.04432262,0.37,1,0.27082,0.1399,0.0053
Iceland,4644,0.02663005,0.61,1,0.2623,0.0721,0.0195
Ireland,2545,0.02861956,0.35,1,0.19378,0.153,0.0031
Italy,3233,0.03325769,0.34,1,0.29036,0.16,0.007
Luxembourg,6112,0.02179694,0.29,1,0.32664,0.086,0.0111
Malta,1282,0.05691456,0.21,1,0.33068,0.2399,-0.0062
Netherlands,4690,0.02647849,0.58,1,0.27884,0.1556,0.0136
Norway,5001,0.03703531,0.57,1,0.27976,0.1599,0.0078
Portugal,1429,0.03836661,0.2,1,0.21278,0.132,0.0041
Spain,2425,0.03904924,0.23,1,0.16776,0.0948,0.0102
Sweden,5149,0.02616545,0.55,0.96,0.26512,0.2305,0.0067
Switzerland,6834,0.01770841,0.26,1,0.31976,0.0695,0.0176
Turkey,1255,0.02809075,0.14,0.75,0.16884,0.1432,0.0249
United Kingdom,4970,0.02223488,0.66,0.92,0.1852,0.2211,0.0068
Australia,5182,0.02140906,0.51,1,0.3354,0.1131,0.0206
Fiji,1799,0.01900252,0.15,0.85,0.20886,0.1505,0.0327
New Zealand,5571,0.01447468,0.73,1,0.22554,0.2083,0.0204
Papua New Guinea,1008,0.01239032,0.01,0.32,0.10206,0.3638,0.0205
