term,coef,se,t,p,ci_low,ci_high
const,9.726801824649026,0.08159270480149612,119.21166050706375,0.0,9.566883061836887,9.886720587461166
parent_education,0.05915833123725289,0.00760090809058717,7.783060988530242,7.079048502724545e-15,0.044260825129902925,0.07405583734460286
age,-0.038624362744670016,0.009534509185596349,-4.051006925770159,5.0997697826286176e-05,-0.05731165735870518,-0.01993706813063485
female,-0.4676030523268422,0.017397766450299043,-26.877188727798146,4.0590299077128393e-159,-0.5017020479808676,-0.4335040566728168
urban,0.13965675189416343,0.017962297783756312,7.774993688193835,7.545116784121986e-15,0.10445129515841743,0.17486220862990942
edu_last,0.3414866624445079,0.027089948837520576,12.605659187201429,1.965226043256318e-36,0.2883913383799349,0.39458198650908094
experience,0.04385651872365167,0.009410739496398856,4.660262749854456,3.1580598549384805e-06,0.02541180824282131,0.06230122920448203
