variable,n,missing,mean,std,min,max
ln_wage,17621,16694,10.482876613353927,0.991997303104242,0.0,14.403297222866392
parent_education,24401,9914,2.2285562067128395,1.159005050187064,1.0,8.0
age,32767,1548,43.74199652088992,13.139391902313566,16.0,70.0
female,34315,0,0.4440623633979309,0.49686836816157415,0.0,1.0
urban,32644,1671,0.484131846587428,0.4997557929663095,0.0,1.0
edu_last,32440,1875,3.066707768187423,1.5017037129276156,1.0,8.0
experience,30928,3387,29.457352560786344,16.097857041438694,0.0,64.0
